author,title,description,content,date
J.M. Donaldson,Extra Crunch members get free Zendesk for 6 months,"Were excited to announce a new Extra Crunch community perk from Zendesk. Starting today, annual and 2 year Extra Crunch members that are new to Zendesk and located within the US or Canada can receive a credit for six months of unlimited licenses for any comb","Were excited to announce a new Extra Crunch community perk from Zendesk. Starting today, annual and 2 year Extra Crunch members that are new to Zendesk and located within the US or Canada can receive a credit for six months of unlimited licenses for any combi 3156 chars ",2019-11-13T21:14:47Z
,Emotional Bautista Agut wins in Davis Cup three days after father dies,Roberto Bautista Agut puts  canada education Spain 1 0 ahead in their Davis Cup final against Canada with an emotional victory over Felix Auger Aliassime in Madrid.,"Roberto Bautista Agut spoke through tears after his victory, which came three days after the death of his father Roberto Bautista Agut put Spain 1 0 ahead in their Davis Cup final against Canada with an emotional victory over Felix Auger Aliassime in Madrid. 1463 chars ",2019-11-24T18:07:17Z
Darrell Etherington,Portag3 Ventures closes 320 million second fund focused on fintech investment,"Canadian venture capital firm Portag3 Ventures has closed a second fund focused on investing in fintech startup, with final commitments from institutional and strategic LPs totally 427 million CAD around 320 million USD . The fund will before costing on ea","Canadian venture capital firm Portag3 Ventures has closed a second fund focused on investing in fintech startup, with final commitments from institutional and strategic LPs totally 427 million CAD around 320 million USD . The fund will before costing on ea 2130 chars ",2019-12-03T09:00:38Z
Georgina Torbet,DoJ charges 14 people in 6 million counterfeit iPhone and iPad scheme,"Scammers are continuing to cause problems for Apple, submitting counterfeit iPhones under warranty and getting them replaced with genuine devices. The US Department of Justice recently unsealed a federal grand jury indictment against a China based group which","In raids on two businesses and several homes in Mira Mesa and Mission Hills, California, officials seized 250,000 in cash as well as 90 iPhones, which are being analyzed for fake parts. Three brothers, Zhiwei Loop Liao, Zhimin Liao and Zhiting Liao, are alle 1451 chars ",2019-11-14T13:31:00Z
Ed Cara,Canadian Therapist Gives Up License After Satanists Expose Her 'Mind Control' Talks,"Activists with The Satanic Temple say a now former therapist in Canada has been pushing conspiracies about globe spanning, mind controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up ","Activists with The Satanic Temple say a now former therapist in Canada has been pushing conspiracies about globe spanning, mind controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up 11388 chars ",2019-11-05T18:10:00Z
Rhett Jones,Why Are People Suddenly Getting Mysterious Text Messages ,"Early Thursday morning, people all over the U.S. and Canada began receiving strange text messages that didnt make a whole lot of sense. The texts were from people they knew but they lacked context and appeared to have been sent months ago. And it really frea","Early Thursday morning, people all over the U.S. and Canada began receiving strange text messages that didnt make a whole lot of sense. The texts were from people they knew but they lacked context and appeared to have been sent months ago. And it really freak 4010 chars ",2019-11-07T22:46:00Z
Jared DiPane,Best Canada Black Friday Deals in 2019,"Black Friday may not be here yet, but the deals are already flowing. We will be rounding up all of our favorites right here throughout the next week, so be sure to keep an eye on this page for new deals as they become available. Newest Deals Amazon Devices TV","Black Friday may not be here yet, but the deals are already flowing. We will be rounding up all of our favorites right here throughout the next week, so be sure to keep an eye on this page for new deals as they become available. This year's top picks Last y 1807 chars ",2019-11-27T12:00:00Z
Pelmorex Weather Networks Inc,WINTER FORECAST Much of Canada in for a 'harsh' season ahead The Weather Network,"WINTER FORECAST Much of Canada in for a 'harsh' season ahead The Weather Network Cold, stormy winter forecast across much of Canada CTV News Cold, stormy winter across much of Canada seasonal forecast 680 News Cold, stormy winter forecast for much of Canada","Your weather when it really mattersTM Please choose your default site Monday, November 18th 2019, 6 00 am The wild and historic winter like weather that's impacted parts of the country this fall looks to provide us with hints of what the upcoming winter 5260 chars ",2019-11-18T11:00:00Z
David Friend,Disney Plus streaming service arrives in Canada with technical hurdles CTV News,Disney Plus streaming service arrives in Canada with technical hurdles CTV News Disney Plus Arrives In Canada Amid Onslaught Of New Streaming Services HuffPost Canada Disney Plus gives Canadians a streaming platform that nearly matches U.S. version Yahoo Cana,"TORONTO Disney Plus has arrived in Canada, becoming the newest player in the growing menu of TV options, but some users say they've encountered technical problems trying to access the streaming platform. A number of Canadians took to social media on Tuesd 2422 chars ",2019-11-12T16:37:00Z
Christine Fisher,Sony brings AirPlay 2 and HomeKit to more high end TVs,"Earlier this year, Sony announced that some of its higher end TVs would add support for Apple's AirPlay 2 and HomeKit protocols. Now, Sony is bringing that support to more TVs. According to MacRumors, the update is available on the 2018 A9F and Z9F models, as","According to MacRumors, the update is available on the 2018 A9F and Z9F models, as well as the 2019 A9G, Z9G, X950G and X850G TVs, in the US, Canada and Latin America. AirPlay 2 will allow users to stream content directly from their iPhone, iPad or Mac, and 357 chars ",2019-12-03T17:32:00Z
Ryan McKenna,Canadas historic Davis Cup run continues with title now in reach Sportsnet.ca,Canadas historic Davis Cup run continues with title now in reach Sportsnet.ca Canada advances to Davis Cup final after beating Russia 2 1 Global News Davis Cup Finals 2019 Canada books first ever championship appearance with win against Russia Sporting News,"One hundred and six years. Thats how long it took Canada to break its drought and reach the Davis Cup final, achieved by Denis Shapovalov and Vasek Pospisil on Saturday after defeating Russia 2 1 in semifinal action in Madrid. The Canadian duo got past Rus 5348 chars ",2019-11-23T17:57:00Z
The Canadian Press,Canada's Felix Auger Aliassime sidelined for Davis Cup opener TSN,"Canada's Felix Auger Aliassime sidelined for Davis Cup opener TSN Shapovalov, Pospisil give Canada a pair of upsets over Italy at Davis Cup Sportsnet.ca Denis Shapovalov, Vasek Pospisil give Canada Davis Cup win over favoured Italy The Globe and Mail Davis Cu","MADRID Denis Shapovalov and Vasek Pospisil kept rolling on Monday, notching a pair of upsets to lead Canada to a win over Italy on the opening day of the inaugural Davis Cup Finals. Shapovalov, ranked 15th in the world, gave Canada an insurmountable 2 0 lead 4087 chars ",2019-11-18T14:56:22Z
Anna Johansson,Should Startups Consider Doing Business in Canada ,"Our neighbor to the north presents unique, often untapped growth opportunities for entrepreneurs.","December 2, 2019 5 min read Opinions expressed by Entrepreneur contributors are their own. If youre thinking about starting a new business or expanding your current enterprise, you might consider operating in Canada. The requirements to enter Canada have 4981 chars ",2019-12-02T17:30:00Z
Reuters Editorial,"Canada, Netherlands back NATO rethink after French, U.S. doubts","The prime ministers of Canada and the Netherlands added their support on Tuesday to a Franco German proposal to reform NATO, after France's president said the Western alliance was dying.","LONDON Reuters The prime ministers of Canada and the Netherlands added their support on Tuesday to a Franco German proposal to reform NATO, after Frances president said the Western alliance was dying. I dont think you survive 70 years as an alliance 451 chars ",2019-12-03T14:54:03Z
Marc DeAngelis,"Lyft expands Grocery Access Program to Baltimore, Chicago and NYC","This spring, Lyft announced its Grocery Access Program, which provided low income families in select cities a flat rate ride to the grocery store. The company's goal is to make healthy food more widely available, charging an average of 2.50 per ride to partn","Approximately 23.5 million people in the US live in food deserts areas that lack affordable and healthy food according to Lyft, and 2.5 million live in low income, rural areas that are more than 10 miles from a supermarket. So far, the company has provi 470 chars ",2019-11-20T19:13:00Z
Mara Gay,Bloomberg Apologizes for Stop and Frisk at Just the Right Time,"Money cant buy the good will of a crucial Democratic constituency, black voters, ahead of likely presidential bid.","The data Mr. Bloomberg is so fond of ultimately showed otherwise. In 88 percent of the stops, there was no arrest. In 2013, a federal judge ruled that the administrations use of the tactic was unconstitutional. Stops declined sharply in his final years in off 1560 chars ",2019-11-17T17:34:26Z
Jared DiPane,These are the best Cyber Monday 2019 deals in Canada ,"Cyber Monday is almost here Most Canadian retailers have updated their prices for Cyber Monday, and you can get some incredible deals in Canada, from retailers like Best Buy, Amazon, Walmart and others. Best Cyber Monday deals in Canada Fire TV Stick 4K with","Cyber Monday is almost here Most Canadian retailers have updated their prices for Cyber Monday, and you can get some incredible deals in Canada, from retailers like Best Buy, Amazon, Walmart and others. Best Cyber Monday deals in Canada ul li Fire TV Sti 4369 chars ",2019-11-30T22:25:27Z
CIC News,"Employment rose in B.C. and Newfoundland last month, new Labour Force Survey shows Canada Immigration News","Employment rose in B.C. and Newfoundland last month, new Labour Force Survey shows Canada Immigration News Canada unexpectedly loses 1,800 jobs, widely missing forecasts Financial Post Unemployment rates remain high in Calgary and Edmonton CTV News Canadian d","British Columbia and Newfoundland led Canadas provinces in employment gains in October, Statistics Canadas new Labour Force Survey reports. Canada added 443,000 new jobs in the 12 months spanning October 2018 to October 2019, led by gains in full time work 2464 chars ",2019-11-08T20:24:00Z
ericaalini,Disney Plus Apple TV Plus Heres how major streaming video services in Canada compare Global News,Disney Plus Apple TV Plus Heres how major streaming video services in Canada compare Global News 4 things to know about the new streaming service Disney Plus CBC.ca Is Disney Worth It A Guide to the New Streaming Service Collider.com Should you spend you,"Disney and Apples respective streaming services, Disney Plus and Apple TV Plus, have arrived in Canada with a slew of old and original content. On one hand, this is great news it means greater variety at low prices, as media giants compete for a slice of t 5439 chars ",2019-11-13T01:07:30Z
,Rate of Objects Left In Surgery Patients In Canada Found To Be Increasing 604 Now,"Rate of Objects Left In Surgery Patients In Canada Found To Be Increasing 604 Now Medical objects are being left in patients, how can it be prevented CBC News The National More foreign bodies being left behind in Canadian patients after surgery Report Ne","Between 2016 and 2018, Canadian surgeons have left more surgical items in patients than most countries. More than 550 objects were reported left inside patients, post surgery, said the Canadian Institute for Health Information study. That includes sponges, m 1829 chars ",2019-11-07T18:03:31Z
The Canadian Press,Spain ends Canada's historic run in Davis Cup final TSN,"Spain ends Canada's historic run in Davis Cup final TSN Despite Davis Cup loss, Canada proves it belongs with the sports best Sportsnet.ca Canada loses bid for its first ever Davis Cup title, falling to Spain CBC.ca Shapovalov proud of Canada's run to final ","MADRID World No. 1 Rafael Nadal defeated Denis Shapovalov 6 3, 7 6 7 on Sunday to give Spain its sixth Davis Cup title and deny Canada its first. Shapovalov of Richmond Hill, Ont., fended off a pair of championship points in the second set tiebreak before 4089 chars ",2019-11-24T20:17:12Z
Lee Berthiaume,Brain death Canada to navigate minefield as France questions NATOs future Global News,Brain death Canada to navigate minefield as France questions NATOs future Global News NATO Battle Between U.S. And France Leaves Canada Stuck In The Middle HuffPost Canada NATO ministers gather amid tensions with France CTV News Nato leader identifies spa,"A brewingbattleoverthefutureofNATOcould have major implicationsforCanada, whichfordecades has relied on the military alliance as a cornerstoneofits security, protection and influence in the world. Prime Minister Justin Trudeau is expected to tra 5016 chars ",2019-11-20T02:24:24Z
Patrick John Gilson,11 Amazon Canada Cyber Monday Deals That Will Make Christmas Shopping Easy Narcity,"11 Amazon Canada Cyber Monday Deals That Will Make Christmas Shopping Easy Narcity Black Friday and Cyber Monday may be over, but these deals are still available to shop Yahoo Style Your Amazon Prime membership scores you up to 50 off these movie rentals And","It's that time of year again, where we can save on products from the comfort of our own home. While some of us chose to brave the crowds of Black Friday, hitting up real life shopping centres in the hopes of finding the best Christmas deals, Cyber Monday also 3996 chars ",2019-12-02T20:15:00Z
Canadian Press,"CANADA 553 foreign items left in patients post surgery between 2016 and 2018, study shows GuelphToday","CANADA 553 foreign items left in patients post surgery between 2016 and 2018, study shows GuelphToday Medical objects are being left in patients, how can it be prevented CBC News The National More foreign bodies being left behind in Canadian patients after","More than 550 objects have been unintentionally left in Canadian medical and surgery patients between 2016 and 2018, and the problem appears to be getting worse. A new report released Thursday by the Canadian Institute for Health Information says 553 foreign 5133 chars ",2019-11-07T16:20:00Z
https://www.facebook.com/bbcnews,Canadian islanders angry over US mail searches,"Campobello islanders can only get their mail via the US, and now their packages are being searched.","Image copyrightPortland Press Herald via Getty ImagesImage caption Former US president Franklin Roosevelt used to holiday on Campobello Campobello, a small Canadian island on the southwestern tip of New Brunswick, is only accessible year round by bridge fr 6615 chars ",2019-12-01T01:03:07Z
BeauHD,Federal Court Approves First 'Pirate' Site Blockade In Canada,"A group of major broadcasters and telco giants, including Rogers and Bell, have obtained the first Canadian pirate site blocking order. TorrentFreak reports Last year, a coalition of copyright holders and major players in the telco industry asked the Canadia","Last year, a coalition of copyright holders and major players in the telco industry asked the Canadian Government to institute a national pirate site blocking scheme. The Fairplay coalition argued that such measures would be required to effectively curb onlin 1622 chars ",2019-11-23T00:02:00Z
Bloomberg News,Canada's economy slows even as business investment perks up BNNBloomberg.ca,Canada's economy slows even as business investment perks up BNNBloomberg.ca Canadian economy slows to 1.3 in 3rd quarter Statistics Canada Global News Real estate lifts Canada's economic growth Yahoo Canada Finance Canada's economy slows in third quarter ev,"Canadas economy slowed sharply in the third quarter, as a drop in exports and draw down in business inventories masked a rebound in domestic demand. Gross domestic product grew at an annualized pace of 1.3per cent in the three months ended September, in lin 3156 chars ",2019-11-29T13:47:50Z
,Sportsnet exploring new formats for first intermission CityNews,"Sportsnet exploring new formats for first intermission CityNews Ron MacLean addresses his Hockey Night in Canada future Yahoo Canada Sports Rex Murphy Shame on you Sportsnet. Don Cherry deserved much, much better National Post Orr calls Cherry firing 'disgra","Dont expect an immediate replacement for fired commentator Don Cherry on Coachs Corner. In fact, its possible that Sportsnet may eventually take the long running Hockey Night in Canada segment in a different direction. Were taking the time to explore ne 1962 chars ",2019-11-16T12:57:47Z
Zi-Ann Lum,Nancy Pelosi Says New NAFTA Deal Is 'Imminent' HuffPost Canada,Nancy Pelosi Says New NAFTA Deal Is 'Imminent' HuffPost Canada Nancy Pelosi says she wants to see U.S. House pass CUSMA by end of 2019 Global News Pelosi USMCA deal is imminent POLITICO Pelosi says agreement on revamped NAFTA imminent Washington Post Dem,"WASHINGTON The most powerful Democrat in the United States Congress says she believes lawmakers on Capitol Hill could vote on the new North American free trade agreement before the end of the year. Nancy Pelosi, the Speaker of the House of Representatives, 2821 chars ",2019-11-14T21:16:46Z
KamloopsBCNow,Health Canada 'actively monitoring' US vaping illness breakthrough KamloopsBCNow,Health Canada 'actively monitoring' US vaping illness breakthrough KamloopsBCNow US research links vaping related lung disease to vitamin E acetate durhamradionews.com Officials Made A Breakthrough In The Vaping Illness Cases Health Canada Is Taking Note Na,Canadian health officials say they are closely monitoring an apparent U.S. breakthrough into the cause of a mysterious vaping illness. The U.S. Centers for Disease Control and Prevention say they have a very strong culprit in a chemical compound known as v 1754 chars ,2019-11-09T19:14:32Z
"Omar Sachedina, Ben Cousins","'I'm not backing down' Cherry not apologizing, admits to poor choice of words CTV News","'I'm not backing down' Cherry not apologizing, admits to poor choice of words CTV News 'There is hypocrisy in all this' Post readers defend Don Cherry National Post Don Cherry explains what he meant by 'you people' in poppy rant Yahoo News Canada 'The probl","TORONTO A day after being fired for suggesting immigrants dont wear poppies, hockey broadcaster Don Cherry isnt apologizing, but wishes he had chosen different words to illustrate his opinion. Cherry was fired Monday, after nearly 40 years of working the 2501 chars ",2019-11-13T03:17:00Z
Daniel Tencer,Canadian Cannabis Earnings Are A Bloodbath HuffPost Canada,"Canadian Cannabis Earnings Are A Bloodbath HuffPost Canada 'Some of these guys are going to disappear' Slump hits cannabis industry CTV News Aurora expects it will beat peers to profitability, but when Yahoo Canada Finance Pot companies reel from week of bl",MONTREAL Weed may not be the product that sells itself after all. Its turning out to be a bit tricky to make a profit on the green stuff legally in Canada these days. Some of Canadas largest cannabis manufacturers have reported dismal sales and weake 4195 chars ,2019-11-15T20:33:11Z
,Remembrance Day 2019 Canada Remembers LIVE Global News,Remembrance Day 2019 Canada Remembers LIVE Global News Watch Remembrance Day at the Canadian War Museum Live video Maclean's Remembrance Day poppies dropped over Dover The Sun View full coverage on Google News, getSimpleString data.title getSimpleString data.description getSimpleString data.videoCountText ,2019-11-11T14:55:12Z
,Students say schools are not protective against abusive coaches Canada News Castanet.net,Students say schools are not protective against abusive coaches Canada News Castanet.net View full coverage on Google News,"Meredith Goldhawk has loved hockey since she was four. But she says since a coach at the University of Windsor harassed and bullied her, she can't even bring herself to play a pickup game with friends. ""Some days I will just sit down and cry because she too 4314 chars ",2019-11-24T17:41:00Z
,More than 500 objects left in patients during surgery in Canada BlackburnNews.com,More than 500 objects left in patients during surgery in Canada BlackburnNews.com View full coverage on Google News,"File photo courtesy of Can Stock Photo Inc. monkeybusinessBy Adelle LoiselleNovember 7, 2019 11 11am ALoiselleNewsA study by the Canadian Institute for Health Information is raising the alarm about the number of times surgeons left objects inside their pa 1683 chars ",2019-11-07T16:11:00Z
Zi-Ann Lum,Saskatchewan Premier Visibly Upset After Meeting With Trudeau HuffPost Canada,Saskatchewan Premier Visibly Upset After Meeting With Trudeau HuffPost Canada Western alienation goes to Ottawa as Andrew Scheer and Scott Moe meet with Trudeau National Post Conservatives say energy corridor would address Trudeaus unity challenges The Globe,OTTAWA Conservative Leader Andrew Scheer and Saskatchewan Premier Scott Moes back to back meetings with Prime Minister Justin Trudeau on Tuesday yielded few results in the search for national unity after a divisive federal election. With the House of Comm 5427 chars ,2019-11-12T19:57:57Z
Chicco Nacion,"Kawhi speaks fondly of Toronto, Canada 'It was amazing' theScore","Kawhi Leonard's lone season with the Toronto Raptors couldn't have gone better on the court, and it also seems to have been a slam dunk away from the hardwood.'The guys, the journey, you know what I mean ' Leonard told reporters of his memories north of the b","Kawhi Leonard's lone season with the Toronto Raptors couldn't have gone better on the court, and it also seems to have been a slam dunk away from the hardwood. ""The guys, the journey, you know what I mean "" Leonard told reporters of his memories north of the 1403 chars ",2019-11-10T15:17:00Z
Premila D'Sa,Conservative Leader Andrew Scheer Fires Staff Following Election Loss HuffPost Canada,Conservative Leader Andrew Scheer Fires Staff Following Election Loss HuffPost Canada View full coverage on Google News,Federal Conservative Leader Andrew Scheer dismissed two of his top aides on Saturday as he and his party grapple with the fallout of what many see as a disappointing performance in last months election. Scheer announced the changes in a morning letter to ca 2605 chars ,2019-11-23T23:08:43Z
Premila D'Sa,Quebec Overturns Decision To Deny French Native Immigration Over Language Skills HuffPost Canada,Quebec Overturns Decision To Deny French Native Immigration Over Language Skills HuffPost Canada View full coverage on Google News,MONTREAL The Quebec government has overturned a decision to deny a French woman her Quebec immigration documents because a chapter of her PhD thesis was written in English. The controversial ruling was invalidated abruptly on Friday after Emilie Dubois ca 3378 chars ,2019-11-09T23:38:04Z
The Canadian Press,Canada beats US for first time in Davis Cup TSN,"Canada is heading to the quarterfinals at the inaugural Davis Cup Finals after sweeping a pair of singles matches against the United States on Tuesday. Denis Shapovalov of Richmond Hill, Ont., clinched the victory in the best of three tie, beating Taylor Fri","MADRID Canada is heading to the quarterfinals at the inaugural Davis Cup Finals after sweeping a pair of singles matches against the United States on Tuesday. Denis Shapovalov of Richmond Hill, Ont., clinched the victory in the best of three tie, beating Tay 3040 chars ",2019-11-19T16:35:29Z
Reuters Editorial,Trump says Pelosi delaying vote on new trade pact to get impeachment support,"President Donald Trump on Tuesday accused Speaker of the House of Representatives Nancy Pelosi of delaying a vote to approve the USMCA trade pact between the United States, Canada and Mexico in order to secure support for her impeachment inquiry.","WASHINGTON Reuters President Donald Trump on Tuesday accused Speaker of the House of Representatives Nancy Pelosi of delaying a vote to approve the USMCA trade pact between the United States, Canada and Mexico in order to secure support for her impeachmen 434 chars ",2019-11-19T17:15:35Z
Andrea Kannapell and Hiroko Masuike,"Mike Pompeo, Hong Kong, Iran Your Monday Evening Briefing",Heres what you need to know at the end of the day.,"4. Checking in on the trade war News junkies may remember that President Trump announced on Oct. 11 that the U.S. and China had reached a historic Phase 1 trade agreement. Well, no deal has been signed, and the word now is that the two could finalize an 399 chars ",2019-11-18T23:34:53Z
David George-Cosh,Pot companies reel from week of bloodletting as darker clouds loom Article BNN BNNBloomberg.ca,"Pot companies reel from week of bloodletting as darker clouds loom Article BNN BNNBloomberg.ca Aurora expects it will beat peers to profitability, but when Yahoo Canada Finance Canopy Growth won't cut jobs despite losses, interim CEO insists CBC.ca Auror","It was one of the worst weeks for the legal cannabis sector since pot became legal in Canada. After more than a dozen Canadian based pot companies reported quarterly results over the past five days, it became increasingly clear the risks that had faced the i 5572 chars ",2019-11-15T20:07:10Z
,"Canopy Growth takes 32 million hit from returned products, revenue plummets most since legalization Financial Post","Canopy Growth takes 32 million hit from returned products, revenue plummets most since legalization Financial Post Canopy Growth Reports Second Quarter Fiscal 2020 Financial Results Canada NewsWire Canopy Growth hit with millions in product return charges, ","Canopy Growth Corp. took a surprise 32.7 million hit from returns and pricing changes related primarily to the sales of its oil and soft gel capsule products, resulting in the companys net revenue plummeting by 15 per cent, quarter over quarter, for the per 1695 chars ",2019-11-14T13:54:00Z
,Several pros and cons to Kelowna's low unemployment rate Kelowna News Castanet.net,Several pros and cons to Kelowna's low unemployment rate Kelowna News Castanet.net Unemployment rates remain high in Calgary and Edmonton CTV News White collar jobs on the rise in Alberta Statistics Canada Edmonton Journal A note to Western Canada The res,"Kelownas unemployment rate in October remained at 4.1 per cent for the second straight month, and the number hasnt wavered much over the last 12 months. The bottom line is Kelowna continues to have one of the lowest unemployment rates among Canadian cities 384 chars ",2019-11-09T03:00:00Z
Tom Krisher,"Ford's new Mustang is not only an SUV, it's all electric too CTV News","Ford's new Mustang is not only an SUV, it's all electric too CTV News 5 things you need to know about the 2021 Ford Mustang Mach E Driving The electric Mustang is here and it costs 50,495 in Canada MobileSyrup Ford Mustang Mach E The first all electric Ford","DEARBORN, Mich. Ford is unveiling its first all electric SUV, marking the start of an avalanche of battery powered vehicles coming from mainstream and luxury automakers during the next two years that industry analysts say will boost electric vehicle sales. 4851 chars ",2019-11-18T11:49:00Z
hannahjacksonglobal,An impossible situation Ron MacLeans speech met with mixed reaction online Global News,"An impossible situation Ron MacLeans speech met with mixed reaction online Global News 'Coach's Corner is no more' Ron MacLean discusses Don Cherry on Hockey Night in Canada CBC.ca On Saturday, Don Cherry was erased from Hockey Night in Canada in more wa","For the first time since a controversy embroiled the two men, longtime Coachs Corner host Ron MacLean appeared during the first intermission of Hockey Night in Canada without co host Don Cherry. Instead, MacLean appeared solo on Saturday night, delivering a 6143 chars ",2019-11-17T18:37:15Z
MLHS Staff,"Sheldon Keefe ""The big thing is trying to be a little more purposeful when we have the puck"" Maple Leafs Hot Stove","Sheldon Keefe ""The big thing is trying to be a little more purposeful when we have the puck"" Maple Leafs Hot Stove Leafs coaching change thrusts Brendan Shanahan back into spotlight Sportsnet.ca Who plays on 'Hockey Night in Canada' tonight Time, TV channel","Sheldon Keefe addressed the media after practice on Friday in Colorado, discussing his first game and win behind an NHL bench, the process of implementing his systems in practice, Jason Spezzas role on the team going forward, and more. What did you want t 6883 chars ",2019-11-23T02:24:00Z
Ryan Maloney,"Canada's Premiers Make United Push On Federal Health Transfers, Split On Pharmacare HuffPost Canada","Canada's Premiers Make United Push On Federal Health Transfers, Split On Pharmacare HuffPost Canada Premiers agree to ask Ottawa for more money for health care, slumping resource revenues The Globe and Mail Premiers want Ottawa to allow opt out for proposed p","MISSISSAUGA, Ont. Canadas provincial and territorial leaders agreed Monday to press the federal government for higher increases to health care funding, but most expressed hesitation about a national pharmacare program. The premiers also emerged from a mee 2185 chars ",2019-12-02T21:00:44Z
Staff,Health Canada says it is actively monitoring U.S. vaping illness progress Global News,"Health Canada says it is actively monitoring U.S. vaping illness progress Global News U.S. officials identify 'strong culprit' in vaping illnesses CTV News This E cigarette Additive May Be Causing Lung Illnesses in Vaping Outbreak, CDC Says Livescience.com ",Canadian health officials say they are closely monitoring an apparent U.S. breakthrough into the cause of a mysterious vaping illness. The U.S. Centers for Disease Control and Prevention say they have a very strong culprit in a chemical compound known as v 1993 chars ,2019-11-09T01:19:26Z
,Don Cherry was erased from Hockey Night in Canada in more ways than one The Globe and Mail,Don Cherry was erased from Hockey Night in Canada in more ways than one The Globe and Mail Why Don Cherry should apologize instead of hiding behind excuse that he's fighting for veterans CBC.ca BOB WAKEHAM Sour Grapes deserved the heave ho The Guardian Lette,"Ron MacLean left sits beside Don Cherry as Rogers TV unveils their team for the station's NHL coverage in Toronto on Monday, March 10, 2014. Chris Young The Canadian Press On the first edition of Hockey Night in Canada in almost four decades without Don 6005 chars ",2019-11-17T05:17:05Z
