Tweet,message,match,polarity
125, fordnation montemcnaughton skillsontario doug ford building a united canada with the help of a skilled labour fo ,skilled,positive
126,biden ancora in testa nel conteggio nazionale ma... i saw this on the bbc and thought you should see it us electi ,None,neutral
127,"rt monaheart1229 well, whaddya know ohio lawmaker is seeking to compel gop rep. jim jordan to testify under oath about whether he was aw",None,neutral
128,congratulations thegistnewsca thegistusa ,congratulations,positive
129,rt rob kimbell the economist 2019 gdp growth forecasts 6.0 china 5.7 egypt 5.0 indonesia 5.0 india 4.9 malaysia 2.0 united,None,neutral
130,rt makerereu makerere emerges 3rd and wins bronze in 1st kings of africa university rugby sevens championship. ht,wins,positive
131,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
132, anne2robertson benhabib6 brexitparty uk erm havent you been listening the boris deal includes a provision in t ,None,neutral
133,rt wabkinew great news manitoba must allow non binary sex designation on birth certificates adjudicator cbc news ,great,positive
134,"rt acrmgeriatricr ""i think acrm is a great place for early career rehabilitation professionals to network, be involved in projects and",great,positive
135," roroxzy it's coming to ps4 xone dec 17 haven't played the sims in months but i cannot resist university, looove ",None,neutral
136," sahamsaler yes, you probably made a mistake. if i could leave canada, i would. escape",None,neutral
137,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
138,"rt hopealdridge geraldkutney nationalpost conrad black, the convicted felon upon release from prison in us should never have been permi",prison,negative
139,"thats the way to go rt mrstevenkane last production meeting before filming. a 500 person crew, hungarian, engli ",None,neutral
140,"rt magtruth we don't have the resources to take 1 million migrants , the un meddling in canada affairs nation leaders stop paying un fe",None,neutral
141,look at where canada is. so sad.,None,neutral
142,lets see how much i changed year i was given 2007 age above 5 amp below 8 now above 10 amp below 14 relationship ,None,neutral
143,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
144,rt nylamatuk resisting canada doesnt take a 'position' on an 'issue' but concerns poetry that addresses the framework that generates p,concerns,negative
145,rt thedohertyinst congratulations again to associate professor sammy bedoui who was appointed unibonn ambassador during a visit to the u,congratulations,positive
146,"rt nancylee2016 ""georgetown university announced last week that it will launch a 400,000 slavery reparations fund that will benefit desc",benefit,positive
147,relieved that satoko is training a lot in canada now.,None,neutral
148,"rt csunited2014 and to think, if elected andrewscheer would have built energy east pipeline, polluting canada from alberta to the atla",None,neutral
149,"if alberta and saskatchewan secede from canada, i wonder what their states provinces would look like. wexit",wonder,positive
150,"my mom said no one can take away your education, its the one thing that will stick with you and i dont want to ",None,neutral
151,rt saltlickoh the last show we played only 2 people were there pls come to the ones we have coming up 11 8 at spacebar 11 13 solo at di,None,neutral
152,still very happy to be in canada ,happy,positive
153,rt bnaibrithcanada breaking bnai brith canada is deeply concerned after learning that a federal grant was used to produce a guide instr,concerned,negative
154,rt spencerfernando the sickening thing about canada's collapsing unity is that this country is so easy to keep together. let the west mas,easy,positive
155,"we are starting 5 minutes early, but the lander university blue gold world series draft has begun ",gold,positive
156,rt 4crpg twilsonottawa 200 increase in gang shootings under justin. liberals solution take away the legal guns. with 4 years wit,None,neutral
157,"rt crebnow are you a recent homebuyer in calgary, edmonton or lethbridge university of calgary researchers want your perspective eligib",None,neutral
158,rt scottsantens the bbc definitely deserves some yangmediashoutout love for this one. yanggang ,love,positive
159, derya555 lucas ranch justintrudeau lmfao r you for real. honestly. you think gov helps oil companies. imagine wh ,None,neutral
160,"rt femi sorry the uk is currently unsure about whether brexit would be good or bad for the nhs, because a prime minister who studied gree",bad,negative
161,"hey folks. if you couldn't tell, i'm on a bit of a hiatus atm. university and other stuff is getting a bit much but ",None,neutral
162,if you support this shit gtfo my life fr. as students of cmu we should be advocates against animal cruelty abuse. d ,None,neutral
163,"rt angus davison ""we obtained whole genome shotgun sequences of all 845 butterfly species recorded from the united states and canada"" htt",None,neutral
164,rt emcengwa uyinenemrwetyana...guys we also have an issue as the university of fort hare concerning male students that die day by day bu,die,negative
165,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
166,rt thejagmeetsingh we need to fight the climate crisis like we want to win. to young people across canada demanding action our ndp c,None,neutral
167,djtgoblin gopleaves shit to moral paragon wrestlerunknowingcoach w sex abuse doc turning republic into adj ,abuse,negative
168," squitter666 thehill repjohnyarmuth hilltvlive i would never want to be in hospital anywhere in europe, or canad ",None,neutral
169,rt spencerfernando the sickening thing about canada's collapsing unity is that this country is so easy to keep together. let the west mas,easy,positive
170, pinboard the conservative party of canadas climate plan was basically the same. i know its difficult to understa ,difficult,negative
171,"rt aarickstriger the nazis put art, culture, and the well being of their folk over profit, and that's how things ought to be. ",well,positive
172,the issue with harvard university is that im just trying to find a nook to draw and theres a goddamn nobel laurea ,issue,negative
173,rt sadisthailey theonlysprout you might be interested in this article by noterfsnoswerfs on the links between terfs and white supremaci,None,neutral
174,"rt sean speer new nationalpost podcast on ""applied conservatism"" in general and the case for developing a conservative economic programm",conservative,negative
175,rt kim siever loblaws posted 1.7 billion in profits last year. food banks canada has an operating revenue last year of 18.6 million. th,None,neutral
176,rt ssc pvc fasterforward speed skating canada unveils new logo and brand identity. learn more about what went into this transformationa,None,neutral
177,"rt stevematthews12 terrific thread here. lots of high skilled indian immigrants in atlanta area, and while on work visas, they struggle",work,positive
178,i just redeemed canadian olympicclub fan reward points to enter the win a team canada podium jacket signed by chri ,win,positive
179,rt kathy1macdonald a great morning at cata hearing stories from the frontlines with cyber security experts amp police from across canada.,great,positive
180,office phone gets this call twice a day. just hang up ,hang,negative
181,"rt marhobby2007 so the palace can squash certain news stories , yet it is open season on meghanmarkle and the british media is lies sus",lies,negative
182,congratulations to senior alden standley on a great career for sacred heart prep. we are so proud of you and wish y ,proud,positive
183,rt forgerat mycanadafirst1 geraldkutney nationalpost conrad black is the very definition of foreign election interference he renounc,interference,negative
184,rt michael byers trans mountain pipeline headed to supreme court of canada. tsleilwaututh firstnations tmx tr,supreme,positive
185,rt tru powell so pleased to have the support from lemarksmith and astonuniversity for the midlandsawards. the mbcca19 awards is all a,awards,positive
186, read ebook letters to a law student a guide to studying law at university gt gt ,None,neutral
187,"rt nickimickeyb you see this starshipent you made this news in canada, even before the guys even made a tour stop here i will continue",None,neutral
188,torch jefferson's pedophilic legacy,None,neutral
189,rt andrewscheer former liberal premier frank mckenna absolutely nails it. justin trudeaus attacks on the energy sector have driven jo,None,neutral
190,"rt andrewdglover xbox game studios will have some developers in town for migs19 we are actively hiring across our studios in canada,",None,neutral
191,rt ffaranee people in my class are still bringing their school shitty behaviour maaann. here is already a university. grow up. be mature,mature,positive
192,we need to get out of canada. there is zero appreciation for western canada in the rest of canada. wexitalberta ,None,neutral
193,"rt griffinshearon im proud to announce with great excitement my commitment to minot state university. i want to thank my family, coaches",thank,positive
194,rt ani5 a university really fucks with your mental health. check on your friends. some are really going through it and have no one to tal,None,neutral
195,rt jamesmelville scientists at manchester university have invented a graphene sieve that turns salt water into drinking water. this cou,None,neutral
196,"rt kirkcenter ""for rabb, art was not merely pretty wall decoration it had meaning. michelangelo meant striving and failing piero meant",striving,positive
197,rt mitchmu10596452 do you want to cheer for a national championship cheer program do you want to earn a cheer and academic scholarship ,cheer,positive
198,"not to be unclassy, but if utah has a page for something like this. shouldnt the university do oklahoma ",like,positive
199,"rt spencerfernando canada should have used air strikes to take out canadian isis fighters aka disloyal terrorist traitors. instead, w",disloyal,negative
200,rt sydcangilla i am extremely excited to announce that i have committed to grand valley state university to continue my athletic amp academ,grand,positive
201,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
202,i was gonna tweet something stereotypical about canada but i cant remember do so imma get food and come back to it,stereotypical,negative
203,rt cataalliance anticipating the dark side of the fourth industrial revolution epic2019 1st panel of the summit world leaders in canad,dark,negative
204,stay mad pussy ,mad,negative
205,rt bhochstein15 honored and blessed to have received an offer from doane university big thanks to coachmckeithen ,honored,positive
206,this is dope pharrell bringing his creative brilliance to toronto ,brilliance,positive
207,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
208,rt npapn2020 lt 300 days left until npapn2020 in halifax come join us... or even better become one of our amazing speakers. send yo,amazing,positive
209,rt nclawservice such an empowering presentation from you amp sbsisters despite the hostileenvironment we are all operating in snr2019 d,None,neutral
210,would never have guessed that quebec had the strongest manifest destiny mindset in canada. ,destiny,positive
211,"rt matthewbennett 1. it was a shoddy, home made, pretend nothing vote, with no ""no"" campaign and a ""yes"" result that kim jong un would be",pretend,negative
212,"rt netflixfilm were celebrating the release of the king and turning over the rei g ns to herberthistory, doctoral candidate in history",None,neutral
213,a hongkong uni asks police to release all materials relating to student first aider injured at protest ,protest,negative
214,"rt iws network fantastic work techgirlscan uoftcities amp uoftinfofaculty, randa tukan and thistechgirl do not miss this 5 journey",work,positive
215,rt jeffkassouf u.s. will host concacaf olympic qualifying from jan. 28 feb. 9. cities will be announced thursday. lately it's been a host,None,neutral
216,"rt matthewbennett 1. it was a shoddy, home made, pretend nothing vote, with no ""no"" campaign and a ""yes"" result that kim jong un would be",pretend,negative
217,rt cbchamilton ford was fielding a question from hamont mpp donna skelly about the city's economy. onpoli ,None,neutral
218,book showcase at my university library funny memes meme ,funny,negative
219,rt 1957 tintin can you help us by publishing this link to help raise awareness of the suffering in syria syrie c'est dur regarde,suffering,negative
220,they should send the surplus to our doctors here in nigeria ,None,neutral
221," jeremycorbyn nope the professional training should be free, the university should not.",None,neutral
222, wbrettwilson or canada can just toss your hypocrite arse out of the country youre a waste of air no one needs ,waste,negative
223,rt nablayah i know all academic institutions are evil but is it everyday the university of toronto is condemned for some next level evil,condemned,negative
224,rt cravecreative canadian corruption at the highest level... and we haven't even scratched the surface of what the rcmp has covered up.,scratched,negative
225,rt terrilltf former first nations. no longer nations but 4th order of government ethnic municipalities under section 35 of canadas const,None,neutral
226,rt royalcdnlegion honour and remember canadas veterans through the legion's virtual wall of honour and remembrance. the photos will be d,None,neutral
227,im at googles uxu ux university today doing cool design shit ,None,neutral
228,this,None,neutral
229,rt conorhouston honoured to deliver a talk today at loyola marymount university resilient people global ambition about the hope of a,resilient,positive
230,jeffrey epstein abc stopped report 'amid palace threats' ,None,neutral
231,abs cbn dapat ganito 1. he's into her 8 9 pm 2. hell university 9 10 pm 3. my husband is a mafia boss 10 11 p ,hell,negative
232,rt southernmissnow investigative journalist sonia shah is the featured speaker for the final usm university forum for the fall 2019 semes,fall,negative
233,rt james dena 610 21 trey50james received his second d1 offer from eastern kentucky university ekuhoops martincobball nikemeanstre,None,neutral
234, jcameronshow fsu getting used once again ..... this is why politicians make crappy university presidents,crappy,negative
235,rt woutmees i'll be streaming this november 3rd starting at 10 am utc to for extra life 2019 to support children's hospitals across the u,support,positive
236," wbrettwilson wexit leader canadian public broadcasting dragon, call on canada to eject people who have environme ",None,neutral
237,rt wftv family of missing clark atlanta university student alexiscrawford asks for public's help in search details ,None,neutral
238,"rt mistyrebik we'll be having this conversation here in des moines, iowa with aoc on saturday join us at noon at drake university. b",None,neutral
239,rt joatclothing exclusive ghost recon breakpoint collectors box created for fans available only through this special offernot sold in,available,positive
240,rt rakiyanmoss blessed to have been accepted into jacksonville university coachj copeland coachshields jax dolphins echsrecruits h,None,neutral
241,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
242,rt felicitycallard if those outside uk wd like to know more about extraordinary events in uk he from feb 2018 till present including tra,extraordinary,positive
243,"rt kenfoxe apart from the housing crisis, the fact you can't drink the tap water, the collapse in university standards, the abysmal state",abysmal,negative
244,rt nottylermccoy canadians move the arizonacoyotes to canada where people care about hockey and a ticket for a single game are more the,None,neutral
245,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
246,rt txtonnews q soobin's major if he'll go to an ordinary university psychology but the things to study was difficult than i assum,difficult,negative
247,rt presscoreca canada has a political crisis because rcmp commissioner brenda lucki sat on an active rcmp investigation that would have r,crisis,negative
248,"rt samike88 canada pm trudeau's top advisor pushing for 1,000,000 new immigrants for 2020 refugees would go on top of these numb",top,positive
249,clear and unequivocal thousands of scientists sign letter on climate crisis ,unequivocal,positive
250,rt holmesteganimi devincow if you do what devin wants i will get every bovine in canada to open a twitter account titled devin nun,None,neutral
251,rt johnvcorbett some important facts canada is not suffering a refugee immigration crisis the canadian economy is booming alberta,None,neutral
252,"rt oroszpatricia mr. trudeau, you are supposed to be leading the country in remembrance day services not conducting meetings, but is have",leading,positive
253, travellingdays it also has the original winnie the pooh outside it a statue ..i loved canada...,loved,positive
254,rt chuck97921221 just like germany did and look what happened. the chancellor angela merkel has been saying how much she regrets allow,None,neutral
255,well done jim,well,positive
256,"rt mya wilson2020 after long consideration, id like to announce my commitment to dakota wesleyan university thank you to teammates, fri",thank,positive
257,"rt natcitizens forever an amateur forget national unity, or a stalled resource sector. canadas unserious pm plans to focus his cabinet",None,neutral
258,rt mariabonanno9 sixty two percent of people who approve of the job president trump is doing say that there would be nothing the commande,trump,positive
259,rt emilia suze canada is over as we know it. taxes will rise to heights near seen. billions will be wasted on failed greentech companies,failed,negative
260,"rt flinchbaughmr what polling is reliable in its methodology whether for civics class or your personal trackin, fivethirtyeight does a",reliable,positive
261,"in a statement to bbc news a spokesperson for buckingham palace said ""this is a matter for abc"". wtaf is that re ",None,neutral
262,rt janetwhoteaches ask yourself...why would canada copy a us system of education has a superior education model with much higher re,superior,positive
263,rt slimzymanny every university has that lecturer who always look unkempt as if they don't receive salaries. ,None,neutral
264,rt canadensismax what a humongous pile of horseshit canada is united in spite of efforts by conservatives to sow division and hate amon,hate,negative
265,"rt teampulte we love cryptocurrency, because blockchain in philanthropy is the future, but we are going to expose crypto scams out there.",None,neutral
266,mckenna is named in kevin taft's excellent book on capp's influence on democracy in canada and nearly every talking ,excellent,positive
267,rt scc eng official photo of the nine current judges of the supreme court of canada. scc sccjudge ,supreme,positive
268,rt zainm university tuition fees scrapped free bus for under 25s inject it straight into my veins ,free,positive
269,rt joatclothing exclusive ghost recon breakpoint collectors box created for fans available only through this special offernot sold in,available,positive
270,"rt sidney chest yep, men and women who died in war to protect the freedom we have in canada.... trudeau won't lead in the remberance da",lead,positive
271,"rt crushthebigots ""it's okay to be white"" posters found on tennessee campus. whites that voted for trump were saying the same thing elec",trump,positive
272,"rt aomelas uk is sad theres no band as big as oasis anymore so they just basically said fuck you to usa, canada, germany, australia, swe",fuck,negative
273,rt ckomnews a nutana resident is concerned with the high levels of lead found in their tap water. ,None,neutral
274,rt spencerfernando epsteincoverup is trending in canada following stunning project veritas report. ,stunning,positive
275,"rt indianahq per the university, michael penix jr. will miss the remainder of the 2019 with a right sternoclavicular joint injury. penix",None,neutral
276,rt aftoncurrie how texas a amp m corpus christi advertisers the university ,None,neutral
277, tleehumphrey yyz isn't canada anymore and yet they controlled the outcome of the election.,None,neutral
278,im on twitter way too much when im in public and i see a funny ass tweet i end up screaming then i forget im not ,funny,negative
279, mcrofficial what if u canada,None,neutral
280,rt its hme bro what the fvck someone put up posters around my uni campus about wonho fkckgivifkdiv university mbb where yall at i wanna b,None,neutral
281,try textnow i got a free phone number with unlimited texting and calling to usa amp canada download it from ,unlimited,positive
282,"cautious bank of canada holds interest rate steady, signals economic tests lie ahead ",lie,negative
283,rt trepmartha what if we invested in quality health and physical education programs that encourage lifelong participation for all student,encourage,positive
